8:31 am,6:40 am,627 CAD,United Airlines • Operated by Skywest DBA United Express, Republic Airways DBA United Express,rome,new york
12:25 pm,7:38 am,621 CAD,United Airlines • Operated by Skywest DBA United Express, Republic Airways DBA United Express,rome,new york
12:00 pm,10:14 am,414 CAD,Spirit Airlines,rome,new york
12:30 pm,10:45 am,627 CAD,United Airlines • Operated by Skywest DBA United Express,rome,new york
9:42 am,7:53 am,414 CAD,Spirit Airlines,rome,new york
2:21 pm,9:28 am,621 CAD,United Airlines • Operated by Skywest DBA United Express, Republic Airways DBA United Express,rome,new york
10:21 am,8:31 am,627 CAD,United Airlines • Operated by Skywest DBA United Express, Republic Airways DBA United Express,rome,new york
8:31 am,6:40 am,627 CAD,United Airlines • Operated by Skywest DBA United Express, Republic Airways DBA United Express,rome,new york
3:01 pm,9:28 am,632 CAD,United Airlines • Operated by Skywest DBA United Express,rome,new york
4:58 pm,3:14 pm,510 CAD,Spirit Airlines,rome,new york
9:42 am,7:53 am,490 CAD,Spirit Airlines,rome,new york
12:00 pm,10:14 am,533 CAD,Spirit Airlines,rome,new york
1:21 pm,7:38 am,632 CAD,United Airlines • Operated by Skywest DBA United Express,rome,new york
