6:43 PM,2:30 PM,595 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
1:55 PM,7:00 AM,261 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
6:41 PM,2:15 PM,591 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
5:11 PM,11:14 AM,475 CAD,Spirit Airlines,toronto,paris
11:43 AM,6:30 AM,466 CAD,WestJet â€¢ Operated by Delta, Skywest DBA Delta Connection,toronto
4:47 PM,11:30 AM,510 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
1:15 PM,7:30 AM,469 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,paris
8:01 PM,3:15 PM,585 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
8:08 PM,1:13 PM,418 CAD,Spirit Airlines,toronto,paris
11:44 AM,6:15 AM,466 CAD,WestJet â€¢ Operated by Delta,toronto,paris
11:15 AM,6:15 AM,521 CAD,WestJet â€¢ Operated by Delta,toronto,paris
2:40 PM,7:00 AM,219 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
6:50 AM,9:02 PM,110 CAD,Frontier,toronto,paris
6:28 PM,1:35 PM,602 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
2:42 PM,7:30 AM,303 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,paris
6:47 PM,3:10 PM,758 CAD,Air Canada â€¢ Operated by Republic Airways/United Express,toronto,paris
2:36 PM,8:20 AM,455 CAD,Air Canada â€¢ Operated by Air Canada Express - Jazz,toronto,paris
5:43 PM,10:30 AM,251 CAD,Porter Airlines, Frontier,toronto
1:55 PM,6:15 AM,261 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,paris
5:07 PM,8:40 AM,342 CAD,United Airlines,toronto,paris
2:48 PM,7:45 AM,342 CAD,WestJet â€¢ Operated by Delta,toronto,paris
6:10 PM,10:00 AM,219 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,paris
8:05 PM,2:00 PM,510 CAD,United Airlines â€¢ Operated by Air Canada Express - Jazz,toronto,paris
6:23 PM,1:25 PM,639 CAD,United Airlines â€¢ Operated by Air Canada,toronto,paris
11:23 PM,3:44 PM,426 CAD,Spirit Airlines,toronto,paris
2:15 PM,6:30 AM,289 CAD,WestJet â€¢ Operated by Delta, Endeavor Air DBA Delta Connection,toronto
2:40 PM,6:05 AM,355 CAD,United Airlines â€¢ Operated by Gojet Airlines DBA United Express, Republic Airways DBA United Express,toronto
2:40 PM,6:05 AM,355 CAD,United Airlines â€¢ Operated by Gojet Airlines DBA United Express, Republic Airways DBA United Express,toronto
2:40 PM,6:15 AM,219 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,paris
2:33 PM,6:00 AM,361 CAD,United Airlines â€¢ Operated by Mesa Airlines DBA United Express, Skywest DBA United Express, Republic Airways DBA United Express
5:16 PM,11:05 AM,476 CAD,WestJet â€¢ Operated by Republic Airways Delta Connection,toronto,paris
2:38 PM,6:00 AM,361 CAD,United Airlines â€¢ Operated by Mesa Airlines DBA United Express, Republic Airways DBA United Express,toronto
6:35 PM,6:13 PM,116 CAD,United Airlines,toronto,london
4:21 PM,10:04 AM,103 CAD,Frontier,toronto,london
2:29 PM,2:00 PM,116 CAD,United Airlines â€¢ Operated by Republic Airways DBA United Express,toronto,london
11:41 AM,11:14 AM,116 CAD,United Airlines â€¢ Operated by Skywest DBA United Express,toronto,london
9:54 AM,9:25 AM,116 CAD,United Airlines â€¢ Operated by Skywest DBA United Express,toronto,london
8:04 AM,7:35 AM,116 CAD,United Airlines â€¢ Operated by Skywest DBA United Express,toronto,london
6:29 AM,6:00 AM,116 CAD,United Airlines â€¢ Operated by Skywest DBA United Express,toronto,london
7:02 PM,6:15 PM,213 CAD,Air Transat â€¢ Operated by Porter Airlines Inc,toronto,london
12:32 PM,11:45 AM,213 CAD,Air Transat â€¢ Operated by Porter Airlines Inc,toronto,london
7:02 PM,6:15 PM,182 CAD,Porter Airlines â€¢ Operated by Porter Airlines,toronto,london
12:32 PM,11:45 AM,182 CAD,Porter Airlines â€¢ Operated by Porter Airlines,toronto,london
2:54 PM,2:00 PM,237 CAD,United Airlines â€¢ Operated by Air Canada,toronto,london
8:44 PM,7:50 PM,211 CAD,Air Canada,toronto,london
