For August 31

From,To,Airline,Price,Departure Time

Toronto-Pearson, New York, Flair Airlines, CA $183, 7:45 AM - 9:45 AM
Toronto-Pearson, New York, Air Canada • Air Canada 8544 operated by Air Canada Express - Jazz, CA $234, 7:15 PM - 8:48 PM
Toronto-Pearson, New York, Air Canada, CA $234, 5:15 PM - 6:48 PM
Toronto-Pearson, New York, Air Canada • Air Canada 8996 operated by Air Canada Express - Jazz, CA $234, 6:10 PM - 7:43 PM
Toronto-Pearson, New York, Air Canada, CA $234, 8:55 PM - 10:28 PM
Toronto-Pearson, New York, Flair Airlines, CA $183, 7:45 AM - 9:45 AM
Toronto-Pearson, New York, Air Canada • Air Canada 8544 operated by Air Canada Express - Jazz, CA $234, 7:15 PM - 8:48 PM
Toronto-Pearson, New York, Air Canada, CA $234, 5:15 PM - 6:48 PM
Toronto-Pearson, New York, Air Canada • Air Canada 8996 operated by Air Canada Express - Jazz, CA $234, 6:10 PM - 7:43 PM
Toronto-Pearson, New York, Air Canada, CA $234, 8:55 PM - 10:28 PM
Toronto-Pearson, New York, Flair Airlines, CA $183, 7:45 AM - 9:45 AM
Toronto-Pearson, New York, Air Canada • Air Canada 8544 operated by Air Canada Express - Jazz, CA $234, 7:15 PM - 8:48 PM
Toronto-Pearson, New York, Air Canada, CA $234, 5:15 PM - 6:48 PM
Toronto-Pearson, New York, Air Canada • Air Canada 8996 operated by Air Canada Express - Jazz, CA $234, 6:10 PM - 7:43 PM
Toronto-Pearson, New York, Air Canada, CA $234, 8:55 PM - 10:28 PM
Toronto-Pearson, New York, Flair Airlines, CA $183, 7:45 AM - 9:45 AM
Toronto-Pearson, New York, Air Canada • Air Canada 8544 operated by Air Canada Express - Jazz, CA $234, 7:15 PM - 8:48 PM
Toronto-Pearson, New York, Air Canada, CA $234, 5:15 PM - 6:48 PM
Toronto-Pearson, New York, Air Canada • Air Canada 8996 operated by Air Canada Express - Jazz, CA $234, 6:10 PM - 7:43 PM
Toronto-Pearson, New York, Air Canada, CA $234, 8:55 PM - 10:28 PM
Toronto-Pearson, New York, Flair Airlines, CA $183, 7:45 AM - 9:45 AM
Toronto-Pearson, New York, Air Canada • Air Canada 8544 operated by Air Canada Express - Jazz, CA $234, 7:15 PM - 8:48 PM
Toronto-Pearson, New York, Air Canada, CA $234, 5:15 PM - 6:48 PM
Toronto-Pearson, New York, Air Canada • Air Canada 8996 operated by Air Canada Express - Jazz, CA $234, 6:10 PM - 7:43 PM
Toronto-Pearson, New York, Air Canada, CA $234, 8:55 PM - 10:28 PM
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7188 operated by Air Transat, CA $849, 9:10 PM - 10:35 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air Canada, CA $1,106, 8:45 PM - 10:10 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Delta • Delta 8661 operated by Air France, CA $1,041, 11:30 PM - 1:00 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7188 operated by Air Transat, CA $849, 9:10 PM - 10:35 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air Canada, CA $1,106, 8:45 PM - 10:10 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Delta • Delta 8661 operated by Air France, CA $1,041, 11:30 PM - 1:00 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $625, 11:00 PM - 3:55 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7188 operated by Air Transat, CA $849, 9:10 PM - 10:35 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air Canada, CA $1,106, 8:45 PM - 10:10 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Delta • Delta 8661 operated by Air France, CA $1,041, 11:30 PM - 1:00 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air France, CA $1,076, 6:15 PM - 7:40 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7250 operated by Air Transat, CA $714, 9:50 AM - 7:45 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air Transat • Air Transat 7801 operated by Porter Airlines, CA $719, 7:00 AM - 7:45 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Icelandair, CA $892, 9:00 PM - 1:00 PM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7461 and 7110 operated by Air Transat, CA $840, 4:40 PM - 10:20 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Porter Airlines • Porter Airlines 7110 operated by Air Transat, CA $840, 4:35 PM - 10:20 AM+1
Toronto-Pearson, Paris(CDG-Roissy-Charles de Gaulle), Air Transat • Air Transat 7803 operated by Porter Airlines, CA $854, 9:50 AM - 10:20 AM+1
